# DS_RateLevel Optimisation
# Monday 29 April  07:12:17 EST 2013
 
#param.w.x[lsr][ds] = 0.01103	[1e-06,0.2]
#param.n.x[lsr][ds] = 84	[0.001,0.4]
# RL Error = 81.4683
# NRL Error = 63.8826
# Final error = 12
# Level, DS Model, GLG, HSR, LSR (sp/s)
40	0	2	4	273.46	2.3
45	0	4	4	282.08	4.43333
50	0	3	4	135.38	0.633333
55	3.9242	17	8	193.5	1.66667
60	17.243	31	16	267.6	16.3667
65	28.3517	17	1	264.44	6.16667
70	58.237	13	5	275.46	5.2
75	79.2782	17	11	279.88	9.13333
80	113.592	27	9	284.34	12.8
85	132.44	34	13	285.18	19.9667
90	162.325	66	24	287.24	33.3667
95	183.379	140	50	287.72	72.8667


30	0	0	9	289.72	21.1
35	0	4	19	290.68	32.9333
40	7.77392	14	24	291.12	46.3333
45	16.3268	21	25	292.42	59.8667
50	20.5397	28	28	291.24	68.8667
55	27.9957	63	28	279.78	6.43333
60	37.6058	75	31	280.6	10.3667
65	45.0777	93	57	290.76	102.567
70	41.7233	119	62	287.64	107.5
75	47.0251	145	74	294.74	117.733
80	46.9218	152	71	292.9	93.4
85	55.4509	168	61	291.38	85.3667
90	63.9959	163	85	294.82	131.133
95	88.7405	177	83	291.26	135.2
100	123.23	180	94	297.22	136.133
#Other values 
#tonefreq = 11112
# bandwidth
#	0.0000	0.0000	0.0000	0.0000
#	3.0000	0.0000	6.0000	0.0000
#	9.0000	9.0000	0.0000	5.0000
#	3.0000	0.0000	2.0000	0.0000
#	0.0000	0.0000	20.0000	0.0000
#	0.0000	0.0000	21.0000	5.0000
# num. connections
#	0	0	0	0
#	7	0	6	0
#	10	19	0	0
#	7	0	5	0
#	10	10	125	0
#	15	15	84	25
# weights
#	0	0	0	0
#	0.0005	0	0.0005	0
#	0.0007	0.001	0	0
#	0.0005	0	0.000531549	0
#	0.0025	0.0015	0.000167221	0.0487
#	0.0025	0.0015	0.01103	0.5166
# delay
#	0.4000	0.0000	0.4000	0.0000
#	0.4000	0.0000	1.0000	0.0000
#	0.4000	1.0000	0.0000	0.0000
#	0.0000	0.0000	0.4000	0.0000
#	1.6000	2.0000	1.0000	2.5000
#	1.6000	2.0000	1.0000	2.5000
# offset  4
# golgi_spatial_filter_variance_LSR	 2.4837
# golgi_syn_filter_scale_factor 1
# golgi_spon 3.7271
# ds_gaba_decay			 9
# ds_gaba_rise			 0.7
# ds_erev  -70
# ds_gkltbar	 0.0163897
# ds_gkhtbar	 0.030623
# ds_gleak  0.000274146
# ds_gnabar  0.30623
# tv_gleak  0.0004987
# tv_erev  -70
# ts_gkhtbar  0.0189416
# ts_gnabar  0.23677
# ts_gkabar  0.01539
# ts_ghbar  6.20392e-05
# ts_gleak  0.000473539
# ts_erev  -55
# ts_dend_g  0.001
# ts_dend_e  -65
# ts_jitter_sd  0.2
